question_id;question_text;survey_name;directorate
Q00765;Apakah Anda menggunakan internet untuk kegiatan usaha?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00766;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00767;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00768;Apakah usaha memiliki izin resmi?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00769;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00770;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00771;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00772;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00773;Apa hubungan Anda dengan kepala rumah tangga?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00774;Apakah Anda menggunakan pupuk subsidi?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00775;Apakah Anda menggunakan pupuk subsidi?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00776;Apa jenis pekerjaan utama Anda?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00777;Apakah rumah memiliki sumber air minum layak?;Survei Industri;Direktorat Statistik Industri
Q00778;Bagaimana kondisi bangunan tempat tinggal?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00779;Apakah rumah memiliki sumber air minum layak?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00780;Apakah rumah memiliki sumber air minum layak?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00781;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00782;Bagaimana kondisi bangunan tempat tinggal?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00783;Berapa jarak ke fasilitas kesehatan terdekat?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00784;Apakah Anda menggunakan internet untuk kegiatan usaha?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00785;Apakah Anda bekerja dalam seminggu terakhir?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00786;Berapa pendapatan usaha bulan lalu?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00787;Berapa jumlah pekerja tetap di usaha ini?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00788;Apakah Anda bekerja dalam seminggu terakhir?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00789;Apa hubungan Anda dengan kepala rumah tangga?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00790;Apa jenis pekerjaan utama Anda?;Survei Industri;Direktorat Statistik Industri
Q00791;Bagaimana kondisi bangunan tempat tinggal?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00792;Berapa luas lahan yang diusahakan rumah tangga?;Survei Industri;Direktorat Statistik Industri
Q00793;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00794;Berapa pendapatan usaha bulan lalu?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00795;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Survei Industri;Direktorat Statistik Industri
Q00796;Berapa pendapatan usaha bulan lalu?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00797;Berapa luas lahan yang diusahakan rumah tangga?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00798;Apakah usaha memiliki izin resmi?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00799;Bagaimana kondisi bangunan tempat tinggal?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00800;Apakah Anda menggunakan internet untuk kegiatan usaha?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00801;Berapa luas lahan yang diusahakan rumah tangga?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00802;Berapa luas lahan yang diusahakan rumah tangga?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00803;Apa hubungan Anda dengan kepala rumah tangga?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00804;Berapa jarak ke fasilitas kesehatan terdekat?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00805;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;Survei Industri;Direktorat Statistik Industri
Q00806;Berapa jarak ke fasilitas kesehatan terdekat?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00807;Bagaimana kondisi bangunan tempat tinggal?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00808;Apakah Anda menggunakan internet untuk kegiatan usaha?;Survei Industri;Direktorat Statistik Industri
Q00809;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00810;Apakah Anda bekerja dalam seminggu terakhir?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00811;Berapa jumlah pekerja tetap di usaha ini?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00812;Berapa jumlah pekerja tetap di usaha ini?;Survei Industri;Direktorat Statistik Industri
Q00813;Apa jenis pekerjaan utama Anda?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00814;Apakah usaha memiliki izin resmi?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00815;Apa jenis pekerjaan utama Anda?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00816;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00817;Apa tingkat pendidikan tertinggi yang diselesaikan?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00818;Berapa produksi komoditas utama musim panen terakhir?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00819;Apa jenis pekerjaan utama Anda?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00820;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00821;Berapa produksi komoditas utama musim panen terakhir?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00822;Berapa jarak ke fasilitas kesehatan terdekat?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00823;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00824;Apakah Anda bekerja dalam seminggu terakhir?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00825;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00826;Berapa produksi komoditas utama musim panen terakhir?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00827;Berapa produksi komoditas utama musim panen terakhir?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00828;Berapa luas lahan yang diusahakan rumah tangga?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00829;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00830;Apakah usaha memiliki izin resmi?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00831;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00832;Berapa luas lahan yang diusahakan rumah tangga?;Survei Industri;Direktorat Statistik Industri
Q00833;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00834;Berapa jumlah pekerja tetap di usaha ini?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00835;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;Survei Industri;Direktorat Statistik Industri
Q00836;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00837;Apakah rumah tangga memiliki akses sanitasi layak?;Survei Industri;Direktorat Statistik Industri
Q00838;Apakah Anda bekerja dalam seminggu terakhir?;Survei Industri;Direktorat Statistik Industri
Q00839;Apakah rumah memiliki sumber air minum layak?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00840;Apakah usaha memiliki izin resmi?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00841;Apa hubungan Anda dengan kepala rumah tangga?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00842;Berapa jumlah pekerja tetap di usaha ini?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00843;Apa hubungan Anda dengan kepala rumah tangga?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00844;Apakah Anda menggunakan pupuk subsidi?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00845;Apakah rumah memiliki sumber air minum layak?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00846;Apakah Anda menggunakan pupuk subsidi?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00847;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00848;Berapa jumlah pekerja tetap di usaha ini?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00849;Berapa pendapatan usaha bulan lalu?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00850;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00851;Berapa luas lahan yang diusahakan rumah tangga?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00852;Apakah Anda menggunakan internet untuk kegiatan usaha?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00853;Berapa pendapatan usaha bulan lalu?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00854;Apa hubungan Anda dengan kepala rumah tangga?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00855;Bagaimana kondisi bangunan tempat tinggal?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00856;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00857;Berapa jarak ke fasilitas kesehatan terdekat?;Survei Industri;Direktorat Statistik Industri
Q00858;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00859;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00860;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00861;Apa hubungan Anda dengan kepala rumah tangga?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00862;Berapa jumlah pekerja tetap di usaha ini?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00863;Apakah rumah tangga memiliki akses sanitasi layak?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00864;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00865;Apakah rumah memiliki sumber air minum layak?;Survei Industri;Direktorat Statistik Industri
Q00866;Berapa luas lahan yang diusahakan rumah tangga?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00867;Apakah Anda menggunakan pupuk subsidi?;Survei Industri;Direktorat Statistik Industri
Q00868;Berapa pendapatan usaha bulan lalu?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00869;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00870;Apa hubungan Anda dengan kepala rumah tangga?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00871;Berapa produksi komoditas utama musim panen terakhir?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00872;Apa hubungan Anda dengan kepala rumah tangga?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00873;Apa hubungan Anda dengan kepala rumah tangga?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00874;Berapa jumlah pekerja tetap di usaha ini?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00875;Berapa luas lahan yang diusahakan rumah tangga?;Survei Industri;Direktorat Statistik Industri
Q00876;Bagaimana kondisi bangunan tempat tinggal?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00877;Apakah Anda menggunakan internet untuk kegiatan usaha?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00878;Bagaimana kondisi bangunan tempat tinggal?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00879;Apakah rumah memiliki sumber air minum layak?;Survei Industri;Direktorat Statistik Industri
Q00880;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00881;Apakah rumah memiliki sumber air minum layak?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00882;Apakah Anda menggunakan internet untuk kegiatan usaha?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00883;Apa tingkat pendidikan tertinggi yang diselesaikan?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00884;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00885;Apakah rumah tangga memiliki akses sanitasi layak?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00886;Apakah rumah memiliki sumber air minum layak?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00887;Apa jenis pekerjaan utama Anda?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00888;Apa hubungan Anda dengan kepala rumah tangga?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00889;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00890;Apa hubungan Anda dengan kepala rumah tangga?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00891;Apa jenis pekerjaan utama Anda?;Survei Industri;Direktorat Statistik Industri
Q00892;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00893;Berapa jarak ke fasilitas kesehatan terdekat?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00894;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00895;Apakah rumah memiliki sumber air minum layak?;Survei Industri;Direktorat Statistik Industri
Q00896;Berapa jumlah pekerja tetap di usaha ini?;Survei Industri;Direktorat Statistik Industri
Q00897;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00898;Apa tingkat pendidikan tertinggi yang diselesaikan?;Survei Industri;Direktorat Statistik Industri
Q00899;Berapa jarak ke fasilitas kesehatan terdekat?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00900;Berapa jarak ke fasilitas kesehatan terdekat?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00901;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00902;Apakah Anda menggunakan internet untuk kegiatan usaha?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00903;Berapa luas lahan yang diusahakan rumah tangga?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00904;Berapa luas lahan yang diusahakan rumah tangga?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00905;Berapa pendapatan usaha bulan lalu?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00906;Apakah usaha memiliki izin resmi?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00907;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00908;Bagaimana kondisi bangunan tempat tinggal?;Survei Industri;Direktorat Statistik Industri
Q00909;Berapa jumlah pekerja tetap di usaha ini?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00910;Apakah anggota rumah tangga memiliki jaminan kesehatan?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00911;Berapa pendapatan usaha bulan lalu?;Survei Industri;Direktorat Statistik Industri
Q00912;Apa hubungan Anda dengan kepala rumah tangga?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00913;Apakah usaha memiliki izin resmi?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00914;Apakah Anda bekerja dalam seminggu terakhir?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00915;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Survei Industri;Direktorat Statistik Industri
Q00916;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00917;Apa tingkat pendidikan tertinggi yang diselesaikan?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00918;Apa jenis pekerjaan utama Anda?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00919;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Survei Industri;Direktorat Statistik Industri
Q00920;Apa tingkat pendidikan tertinggi yang diselesaikan?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00921;Apakah Anda bekerja dalam seminggu terakhir?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00922;Berapa produksi komoditas utama musim panen terakhir?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00923;Berapa luas lahan yang diusahakan rumah tangga?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00924;Apakah usaha memiliki izin resmi?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00925;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00926;Apakah anggota rumah tangga memiliki jaminan kesehatan?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00927;Apakah Anda menggunakan pupuk subsidi?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00928;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00929;Apa jenis pekerjaan utama Anda?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00930;Berapa pendapatan usaha bulan lalu?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00931;Apa tingkat pendidikan tertinggi yang diselesaikan?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00932;Berapa jumlah pekerja tetap di usaha ini?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00933;Berapa produksi komoditas utama musim panen terakhir?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00934;Apakah Anda bekerja dalam seminggu terakhir?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00935;Berapa produksi komoditas utama musim panen terakhir?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00936;Apakah Anda menggunakan pupuk subsidi?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00937;Apakah rumah tangga memiliki akses sanitasi layak?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00938;Berapa jarak ke fasilitas kesehatan terdekat?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00939;Berapa pendapatan usaha bulan lalu?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00940;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00941;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00942;Berapa jarak ke fasilitas kesehatan terdekat?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00943;Bagaimana kondisi bangunan tempat tinggal?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00944;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00945;Apa tingkat pendidikan tertinggi yang diselesaikan?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00946;Berapa produksi komoditas utama musim panen terakhir?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00947;Apakah Anda menggunakan pupuk subsidi?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00948;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00949;Berapa luas lahan yang diusahakan rumah tangga?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00950;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Survei Industri;Direktorat Statistik Industri
Q00951;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00952;Apakah Anda bekerja dalam seminggu terakhir?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00953;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00954;Bagaimana kondisi bangunan tempat tinggal?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00955;Apakah usaha memiliki izin resmi?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00956;Apa jenis pekerjaan utama Anda?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00957;Apakah Anda bekerja dalam seminggu terakhir?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00958;Apakah Anda bekerja dalam seminggu terakhir?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00959;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00960;Bagaimana kondisi bangunan tempat tinggal?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00961;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00962;Apakah Anda menggunakan pupuk subsidi?;Survei Industri;Direktorat Statistik Industri
Q00963;Apa jenis pekerjaan utama Anda?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00964;Apakah Anda menggunakan pupuk subsidi?;Survei Industri;Direktorat Statistik Industri
Q00965;Apakah Anda menggunakan internet untuk kegiatan usaha?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00966;Apakah Anda menggunakan internet untuk kegiatan usaha?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00967;Berapa jarak ke fasilitas kesehatan terdekat?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00968;Apakah usaha memiliki izin resmi?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00969;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00970;Apa jenis pekerjaan utama Anda?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00971;Berapa luas lahan yang diusahakan rumah tangga?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00972;Berapa luas lahan yang diusahakan rumah tangga?;Survei Industri;Direktorat Statistik Industri
Q00973;Berapa pendapatan usaha bulan lalu?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00974;Apa tingkat pendidikan tertinggi yang diselesaikan?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00975;Apa jenis pekerjaan utama Anda?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00976;Berapa produksi komoditas utama musim panen terakhir?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00977;Bagaimana kondisi bangunan tempat tinggal?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00978;Apakah usaha memiliki izin resmi?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00979;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00980;Bagaimana kondisi bangunan tempat tinggal?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00981;Berapa jumlah pekerja tetap di usaha ini?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00982;Apakah rumah memiliki sumber air minum layak?;Survei Industri;Direktorat Statistik Industri
Q00983;Apakah rumah tangga memiliki akses sanitasi layak?;Survei Industri;Direktorat Statistik Industri
Q00984;Berapa jumlah pekerja tetap di usaha ini?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00985;Apakah rumah memiliki sumber air minum layak?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00986;Apa hubungan Anda dengan kepala rumah tangga?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00987;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00988;Apakah Anda bekerja dalam seminggu terakhir?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00989;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00990;Apakah Anda menggunakan internet untuk kegiatan usaha?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00991;Berapa luas lahan yang diusahakan rumah tangga?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00992;Apakah rumah memiliki sumber air minum layak?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00993;Apa jenis pekerjaan utama Anda?;Survei Industri;Direktorat Statistik Industri
Q00994;Berapa jumlah pekerja tetap di usaha ini?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00995;Apa jenis pekerjaan utama Anda?;Survei Industri;Direktorat Statistik Industri
Q00996;Berapa produksi komoditas utama musim panen terakhir?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00997;Apakah rumah tangga memiliki akses sanitasi layak?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00998;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00999;Apa hubungan Anda dengan kepala rumah tangga?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
